VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1N4AZ0CP6D,King,Kirkland,WA,98034,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,1,154635729,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203
5YJ3E1EC8L,Kitsap,Bainbridge Island,WA,98110,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,23,107518645,POINT (-122.521 47.62759),PUGET SOUND ENERGY INC,53035090902
5YJ3E1EBXJ,King,Seattle,WA,98144,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,37,474808813,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009000
ZFAFFAC45R,Thurston,Yelm,WA,98597,2024,FIAT,500E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,2,273658514,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
5YJYGDEE3L,King,Kent,WA,98030,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,47,109579900,POINT (-122.19975 47.37483),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029507
WBY1Z4C50F,Snohomish,Mukilteo,WA,98275,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,21,474837583,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042005
5YJXCBE28G,King,Seattle,WA,98115,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,43,103221744,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003601
1G1RB6S51H,Island,Oak Harbor,WA,98277,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,10,237694698,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970401
5YJ3E1EA7J,King,Kirkland,WA,98034,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,1,287031223,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203
5YJSA1E2XH,King,Seattle,WA,98107,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,43,329236610,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800
1G1FY6S02L,Yakima,Union Gap,WA,98903,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,15,280393711,POINT (-120.71847 46.55029),PACIFICORP,53077001300
WBAJB1C01L,King,Seattle,WA,98112,2020,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,43,240741273,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400
1G1FY6S07L,Yakima,Moxee,WA,98936,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,15,125943058,POINT (-120.39197 46.55621),PACIFICORP,53077001702
7SAYGDEE0N,Kitsap,Kingston,WA,98346,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,224706674,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
WB523CF02R,Snohomish,Monroe,WA,98272,2024,BMW,IX,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,39,267225647,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052203
JA4T5WA92R,Kitsap,Bremerton,WA,98310,2024,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,23,266825387,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080400
5YJ3E1EB3L,King,Kirkland,WA,98033,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,48,1868562,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022603
5YJ3E1EB0J,Thurston,Tumwater,WA,98501,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,22,253804267,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010802
5YJXCDE24L,Kitsap,Seabeck,WA,98380,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,35,219900628,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,53035091301
7FCTGAAA5N,Thurston,Yelm,WA,98597,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,2,228332982,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
1N4AZ1CP6J,Thurston,Olympia,WA,98502,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,22,476275600,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
KNDCE3LG5K,Thurston,Yelm,WA,98597,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,2,275199676,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012531
1C4RJXP64R,Yakima,Yakima,WA,98908,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,14,273075925,POINT (-120.60199 46.59817),PACIFICORP,53077002801
5YJSA1E29J,Thurston,Olympia,WA,98502,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,22,211037095,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
WA1E2AFY9M,Island,Oak Harbor,WA,98277,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,10,153852786,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970402
1N4BZ1DP1L,Kitsap,Silverdale,WA,98383,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,23,142917904,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091205
5YJSA1E23H,Kitsap,Bremerton,WA,98337,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,26,260175702,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080600
1FMCU0E12R,Kitsap,Port Orchard,WA,98366,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,26,277988756,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092600
KNDPYDDH1S,Snohomish,Lynnwood,WA,98087,2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,21,278025401,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041816
7SAYGDEE7P,Thurston,Olympia,WA,98501,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,22,230919958,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010802
5YJXCAE45G,Yakima,Yakima,WA,98902,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,14,238708410,POINT (-120.51904 46.59783),PACIFICORP,53077000700
1FADP5CU7G,King,Seattle,WA,98125,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,46,8653760,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200
KNDPYDDH3R,Kitsap,Port Orchard,WA,98367,2024,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,34,35,274467308,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092901
5YJ3E1EA0P,Kitsap,Poulsbo,WA,98370,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,259918389,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
5YJXCBE20J,King,Renton,WA,98055,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,11,126310607,POINT (-122.19488 47.44035),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029308
1N4BZ0CP0H,Snohomish,Arlington,WA,98223,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,39,3376460,POINT (-122.1264 48.19471),PUGET SOUND ENERGY INC,53061053507
1N4AZ1CP9L,Snohomish,Bothell,WA,98012,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,1,127496155,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052009
WBA7W4C07L,Snohomish,Lynnwood,WA,98087,2020,BMW,745E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,21,255369957,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041901
5YJ3E1EBXK,Island,Oak Harbor,WA,98277,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,10,289687443,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970601
1N4AZ0CP2F,King,Seattle,WA,98177,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,32,119219593,POINT (-122.37238 47.74068),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000500
5YJXCDE2XG,Snohomish,Everett,WA,98204,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,21,348460990,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041812
5YJ3E1EB1J,Snohomish,Snohomish,WA,98290,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,39,476146177,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052105
JTDKAMFP0M,Yakima,Yakima,WA,98902,2021,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,14,152408714,POINT (-120.51904 46.59783),PACIFICORP,53077000600
1FTVW1EV0P,Kitsap,Poulsbo,WA,98370,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,265070333,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
5YJSA1E68M,Yakima,Selah,WA,98942,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,15,179246672,POINT (-120.53145 46.65405),PACIFICORP,53077003400
5YJYGDEE6L,King,Duvall,WA,98019,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,45,132329228,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032402
2C4RC1L73N,Thurston,Olympia,WA,98506,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,22,278469348,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
1N4AZ0CP0D,King,Kirkland,WA,98034,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,1,7975264,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300
1G1FZ6S02L,Kitsap,Bremerton,WA,98337,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,26,274627748,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035081200
1C4RJXP6XR,Island,Oak Harbor,WA,98277,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,10,264335774,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970402
KNDJX3AE8G,King,Bellevue,WA,98008,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,48,192798875,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022901
KNDJX3AE1G,Kitsap,Poulsbo,WA,98370,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,23,289165698,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090202
5YJ3E1EA6K,Snohomish,Bothell,WA,98021,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,1,281768588,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
5YJ3E1EB1L,King,Sammamish,WA,98075,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,41,6358355,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032224
JN1AZ0CP8B,King,Seattle,WA,98125,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,46,7464873,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000102
1C4RJXN6XR,Kitsap,Port Orchard,WA,98367,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,35,276332668,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092901
WA1F2AFY6R,Kitsap,Port Orchard,WA,98366,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,26,273525794,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092500
5YJSA1E25G,King,Seattle,WA,98109,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,36,477061371,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006800
1N4AZ0CP1F,Kitsap,Bremerton,WA,98311,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,23,170726797,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091500
5YJ3E1EB1K,King,Renton,WA,98055,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,11,330821501,POINT (-122.19488 47.44035),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025806
3C3CFFGE7F,Thurston,Olympia,WA,98512,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,35,285123072,POINT (-123.04078 46.94792),PUGET SOUND ENERGY INC,53067012730
JTDKARFP9K,Kitsap,Poulsbo,WA,98370,2019,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,23,340612723,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
1N4AZ0CP3F,Snohomish,Everett,WA,98204,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,21,179628998,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041810
1G1RA6E49C,Snohomish,Bothell,WA,98012,2012,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,1,121746957,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052107
YV4BR0DL6M,Kitsap,Kingston,WA,98346,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,23,157502796,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090101
5YJ3E1EC1L,Kitsap,Bainbridge Island,WA,98110,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,23,195702293,POINT (-122.521 47.62759),PUGET SOUND ENERGY INC,53035090700
5YJXCBE2XL,Thurston,Olympia,WA,98513,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,2,271175789,POINT (-122.80933 46.99531),PUGET SOUND ENERGY INC,53067012332
5YJSA1DNXD,Kitsap,Seabeck,WA,98380,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,35,119860289,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,53035091301
5YJ3E1EB5J,Yakima,Yakima,WA,98908,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,14,271848468,POINT (-120.60199 46.59817),PACIFICORP,53077000902
1G1FY6S09L,Thurston,Olympia,WA,98502,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,22,271593990,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
1N4AZ0CP7F,Kitsap,Poulsbo,WA,98370,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,23,255683830,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
1C4RJYD63P,Yakima,Yakima,WA,98903,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,14,265306576,POINT (-120.71847 46.55029),PACIFICORP,53077002803
